,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,bitcoin,456.434,2016-01,1,556404486447,1710583688.2242782
0,bitcoin,441.1199999999998,2016-02,1,556767480985,1847224330.8996885
0,bitcoin,425.349,2016-03,1,556767480985,2766255766.6448894
0,bitcoin,467.8559999999999,2016-04,1,556767480985,1609960186.8384228
0,bitcoin,534.2240000000002,2016-05,1,556767480985,2308852891.9405656
0,bitcoin,765.4629999999999,2016-06,1,556918617674,2950728708.757519
0,bitcoin,693.0470000000001,2016-07,1,556918617674,2122556832.5577588
0,bitcoin,592.6675,2016-08,1,556918617674,2497221230.7124486
0,bitcoin,625.4675000000001,2016-09,1,556728348274,1917754354.0926063
0,bitcoin,715.4103243232163,2016-10,1,556728348274,6861251336.346381
0,bitcoin,750.4100480749124,2016-11,1,556728348274,10469111039.375326
0,bitcoin,977.14,2016-12,1,556728348274,7952522425.204329
0,bitcoin,1130.8495163207272,2017-01,1,556728348274,12102750396.564293
0,bitcoin,1193.129515036958,2017-02,1,556689814595,333977588.2356619
0,bitcoin,1289.5406116191473,2017-03,1,556694820625,417086882.86842495
0,bitcoin,1349.8863,2017-04,1,556694820625,161417797.38181546
0,bitcoin,2448.1313,2017-05,1,556694820625,889791512.2689184
0,bitcoin,3013.7138,2017-06,1,556736444864,1211604496.354524
0,bitcoin,2871.3680152452,2017-07,1,556736444864,1277986817.595834
0,bitcoin,4702.93816308458,2017-08,1,556736444864,1908427436.1044517
1,bitcoin,4632.46233076675,2017-09,1,556736444864,3308099534.339308
1,bitcoin,6368.65164135745,2017-10,1,556871419865,3174154333.22038
1,bitcoin,10406.18772373,2017-11,1,556871419865,10258439067.6534
1,bitcoin,19665.3949272416,2017-12,1,556871419865,24144297784.1442
1,bitcoin,18343.6624934071,2018-01,1,556871419865,10225958520.621689
1,bitcoin,11502.3770496396,2018-02,1,557332219343,9152685412.95559
1,bitcoin,11526.4209302906,2018-03,1,557332219343,5476476288.950579
1,bitcoin,9716.48975733072,2018-04,1,557332219343,5523433548.358508
1,bitcoin,9766.24448548887,2018-05,1,557293481478,3726075355.303701
1,bitcoin,7672.89248327851,2018-06,1,557293481478,5281417110.5751095
1,bitcoin,8424.062635974418,2018-07,1,557293481478,7243304845.344739
1,bitcoin,7701.189379141824,2018-08,1,557005748829,12140914790.748276
1,bitcoin,7398.637217557211,2018-09,1,557005748829,8377508399.198155
1,bitcoin,7083.015350832717,2018-10,1,557005748829,6210600665.250381
1,bitcoin,6589.980816161567,2018-11,1,557005748829,7100148508.536923
1,bitcoin,4280.7492074600505,2018-12,1,557132804755,6648962171.518408
1,bitcoin,4046.63402718114,2019-01,1,557132804755,5698936661.502275
1,bitcoin,4170.5806231303695,2019-02,1,557132804755,13049870553.09643
1,bitcoin,4123.8165936008445,2019-03,1,557364293813,19683482185.339134
1,bitcoin,5613.029359602061,2019-04,1,557364293813,60811615094.71319
1,bitcoin,8860.309983692607,2019-05,1,557364293813,39970291775.46867
1,bitcoin,13892.998967652324,2019-06,1,557364293813,82385219885.58475
1,bitcoin,13042.680500214312,2019-07,1,557536651458,59011195060.415886
1,bitcoin,12177.56276855032,2019-08,1,557536651458,54514342854.4249
1,bitcoin,10847.137570240697,2019-09,1,557536651458,36397057425.12324
1,bitcoin,10047.624014553556,2019-10,1,557487405555,61882457084.57739
1,bitcoin,9430.403057047204,2019-11,1,557487405555,59147763580.97997
1,bitcoin,7585.278153349563,2019-12,1,557487405555,60286247960.34421
1,bitcoin,9568.834123517552,2020-01,1,557103711850,56624527539.527954
1,bitcoin,10439.094564491888,2020-02,1,557103711850,81719527610.19424
1,bitcoin,9148.951550799657,2020-03,1,557103711850,79912549709.91785
1,bitcoin,8854.799146016687,2020-04,1,557103711850,60399592065.54053
1,bitcoin,10008.091136069424,2020-05,1,556383670181,65113288889.51519
1,bitcoin,10167.93069332851,2020-06,1,556383670181,43125077639.42983
1,bitcoin,11300.413780969511,2020-07,1,556383670181,57529533548.36511
1,bitcoin,12391.495514936742,2020-08,1,556383670181,52689471118.10859
1,bitcoin,12018.939445463287,2020-09,1,556264773331,81964984903.26381
1,bitcoin,13806.246929028044,2020-10,1,556264773331,30621522076.135902
1,bitcoin,19315.000211744744,2020-11,1,556276120774,59553273220.84878
1,bitcoin,29191.57079791895,2020-12,1,556276120774,225169813638.96805
1,bitcoin,41880.654263595134,2021-01,1,556276120774,409771446824.4245
1,bitcoin,58341.08047396216,2021-02,1,556276120774,124657005338.8475
1,bitcoin,61599.218625302914,2021-03,1,555913287649,76637230465.6906
1,bitcoin,64594.9938985327,2021-04,1,555913287649,112371802303.04675
1,bitcoin,59577.80355554711,2021-05,1,555913287649,155534532437.09055
1,bitcoin,40852.10413434637,2021-06,1,555913287649,64234536643.42611
1,bitcoin,41964.84067260923,2021-07,1,556013242648,53475930015.58891
1,bitcoin,50311.81812626523,2021-08,1,556013242648,46903982000.337326
1,bitcoin,52774.412756442776,2021-09,1,556013242648,77366556563.79541
1,bitcoin,67118.89194557608,2021-10,1,556198646739,53692795090.35915
1,bitcoin,68640.16034986946,2021-11,1,556198646739,111834583769.65298
1,bitcoin,58612.92011647459,2021-12,1,556198646739,63172964174.98
