,id,simbolo,nombre
0,bitcoin,btc,Bitcoin
1,ethereum,eth,Ethereum
2,tether,usdt,Tether
3,binancecoin,bnb,BNB
4,ripple,xrp,XRP
5,usd-coin,usdc,USD Coin
6,staked-ether,steth,Lido Staked Ether
7,cardano,ada,Cardano
8,dogecoin,doge,Dogecoin
9,solana,sol,Solana
10,tron,trx,TRON
11,polkadot,dot,Polkadot
12,matic-network,matic,Polygon
13,litecoin,ltc,Litecoin
14,shiba-inu,shib,Shiba Inu
15,the-open-network,ton,Toncoin
16,wrapped-bitcoin,wbtc,Wrapped Bitcoin
17,uniswap,uni,Uniswap
18,bitcoin-cash,bch,Bitcoin Cash
19,avalanche-2,avax,Avalanche
20,dai,dai,Dai
21,leo-token,leo,LEO Token
22,chainlink,link,Chainlink
23,stellar,xlm,Stellar
24,binance-usd,busd,Binance USD
25,monero,xmr,Monero
26,true-usd,tusd,TrueUSD
27,okb,okb,OKB
28,ethereum-classic,etc,Ethereum Classic
29,cosmos,atom,Cosmos Hub
30,hedera-hashgraph,hbar,Hedera
31,filecoin,fil,Filecoin
32,internet-computer,icp,Internet Computer
33,lido-dao,ldo,Lido DAO
34,quant-network,qnt,Quant
35,mantle,mnt,Mantle
36,crypto-com-chain,cro,Cronos
37,aptos,apt,Aptos
38,arbitrum,arb,Arbitrum
39,vechain,vet,VeChain
40,near,near,NEAR Protocol
41,optimism,op,Optimism
42,maker,mkr,Maker
43,rocket-pool-eth,reth,Rocket Pool ETH
44,the-graph,grt,The Graph
45,aave,aave,Aave
46,xdce-crowd-sale,xdc,XDC Network
47,whitebit,wbt,WhiteBIT Coin
48,algorand,algo,Algorand
49,frax,frax,Frax
50,kaspa,kas,Kaspa
51,elrond-erd-2,egld,MultiversX
52,havven,snx,Synthetix Network
53,the-sandbox,sand,The Sandbox
54,blockstack,stx,Stacks
55,usdd,usdd,USDD
56,immutable-x,imx,ImmutableX
57,eos,eos,EOS
58,axie-infinity,axs,Axie Infinity
59,tezos,xtz,Tezos
60,theta-token,theta,Theta Network
61,apecoin,ape,ApeCoin
62,bitget-token,bgb,Bitget Token
63,decentraland,mana,Decentraland
64,fantom,ftm,Fantom
65,flex-coin,flex,FLEX Coin
66,bitcoin-cash-sv,bsv,Bitcoin SV
67,injective-protocol,inj,Injective
68,render-token,rndr,Render
69,radix,xrd,Radix
70,gatechain-token,gt,Gate
71,neo,neo,NEO
72,rocket-pool,rpl,Rocket Pool
73,kava,kava,Kava
74,gala,gala,GALA
75,kucoin-shares,kcs,KuCoin
76,flow,flow,Flow
77,paxos-standard,usdp,Pax Dollar
78,ecash,xec,eCash
79,pepe,pepe,Pepe
80,rollbit-coin,rlb,Rollbit Coin
81,compound-ether,ceth,cETH
82,chiliz,chz,Chiliz
83,pax-gold,paxg,PAX Gold
84,klay-token,klay,Klaytn
85,curve-dao-token,crv,Curve DAO
86,frax-share,fxs,Frax Share
87,tether-gold,xaut,Tether Gold
88,thorchain,rune,THORChain
89,frax-ether,frxeth,Frax Ether
90,iota,miota,IOTA
91,tokenize-xchange,tkx,Tokenize Xchange
92,bittorrent,btt,BitTorrent
93,casper-network,cspr,Casper Network
94,mina-protocol,mina,Mina Protocol
95,huobi-token,ht,Huobi
96,terra-luna,lunc,Terra Luna Classic
97,sui,sui,Sui
98,trust-wallet-token,twt,Trust Wallet
99,gemini-dollar,gusd,Gemini Dollar
100,gmx,gmx,GMX
101,nexo,nexo,NEXO
102,sei-network,sei,Sei
103,dydx,dydx,dYdX
104,nxm,nxm,Nexus Mutual
105,conflux-token,cfx,Conflux
106,arweave,ar,Arweave
107,dash,dash,Dash
108,compound-governance-token,comp,Compound
109,apenft,nft,APENFT
110,staked-frax-ether,sfrxeth,Staked Frax Ether
111,flare-networks,flr,Flare
112,zilliqa,zil,Zilliqa
113,pancakeswap-token,cake,PancakeSwap
114,compound-usd-coin,cusdc,cUSDC
115,woo-network,woo,WOO Network
116,bone-shibaswap,bone,Bone ShibaSwap
117,liquity-usd,lusd,Liquity USD
118,illuvium,ilv,Illuvium
119,basic-attention-token,bat,Basic Attention
120,gnosis,gno,Gnosis
121,1inch,1inch,1inch
122,mx-token,mx,MX
123,astar,astr,Astar
124,helium,hnt,Helium
125,akash-network,akt,Akash Network
126,enjincoin,enj,Enjin Coin
127,osmosis,osmo,Osmosis
128,huobi-btc,hbtc,Huobi BTC
129,first-digital-usd,fdusd,First Digital USD
130,oec-token,okt,OKT Chain
131,bitcoin-gold,btg,Bitcoin Gold
132,loopring,lrc,Loopring
133,mask-network,mask,Mask Network
134,chia,xch,Chia
135,convex-finance,cvx,Convex Finance
136,qtum,qtum,Qtum
137,singularitynet,agix,SingularityNET
138,nem,xem,NEM
139,celo,celo,Celo
140,escoin-token,elg,Escoin
141,open-exchange-token,ox,Open Exchange Token
142,tether-eurt,eurt,Euro Tether
143,zcash,zec,Zcash
144,theta-fuel,tfuel,Theta Fuel
145,oasis-network,rose,Oasis Network
146,ankr,ankr,Ankr Network
147,ethereum-name-service,ens,Ethereum Name Service
148,ecomi,omi,ECOMI
149,floki,floki,FLOKI
150,blur,blur,Blur
151,holotoken,hot,Holo
152,fetch-ai,fet,Fetch.ai
