,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
1,dogecoin,0.0004493748501941,2016-01,9,9557297683,1921126.367215537
2,ethereum,2.519719734523484,2016-01,2,215779763630,11669540.231742326
3,litecoin,3.602216418635095,2016-01,14,5528376552,278616687.63988644
4,ripple,0.0068869999999999,2016-01,5,31228846655,2889670.0
5,tether,1.0,2016-01,3,82920558742,540887.0
1,dogecoin,0.0002972002935989,2016-02,9,9557297683,377539.533573123
2,ethereum,6.440650848847282,2016-02,2,215865497555,29316397.613274623
3,litecoin,3.483668765464253,2016-02,14,5528376552,322812265.62634546
4,ripple,0.008617,2016-02,5,31277199990,2471040.0
5,tether,1.0,2016-02,3,82956503414,438017.99999999977
1,dogecoin,0.0002558989917399,2016-03,9,9557297683,1328536.033968303
2,ethereum,14.89359978457807,2016-03,2,215865497555,56738456.43221119
3,litecoin,3.35552826292302,2016-03,14,5528376552,207273505.17324743
4,ripple,0.008808,2016-03,5,31277199990,2796150.0
5,tether,1.0,2016-03,3,82956503414,1043750.0
1,dogecoin,0.0002349062879696,2016-04,9,9557297683,270121.51584779145
2,ethereum,11.5639776320382,2016-04,2,215865497555,42148631.996420056
3,litecoin,4.038293438674249,2016-04,14,5528376552,1186956735.4292164
4,ripple,0.007506,2016-04,5,31277199990,1807670.0
5,tether,1.0,2016-04,3,82956503414,542470.9999999999
1,dogecoin,0.0002352467377522,2016-05,9,9562583847,327082.55309447495
2,ethereum,14.71832475600216,2016-05,2,215865497555,62651459.72818858
3,litecoin,4.664446340741096,2016-05,14,5532079243,1264562520.104265
4,ripple,0.0067129999999999,2016-05,5,31277199990,1069750.0
5,tether,1.0,2016-05,3,82956503414,6093660.000000001
1,dogecoin,0.0003312017024975,2016-06,9,9562583847,1212299.950581373
2,ethereum,20.509400413759888,2016-06,2,215942615439,176008430.131423
3,litecoin,5.670590243742764,2016-06,14,5532079243,1212520874.2729714
4,ripple,0.006987,2016-06,5,31300531807,9770470.0
5,tether,1.0,2016-06,3,82925545784,6175310.0
1,dogecoin,0.0003019433168373,2016-07,9,9562583847,440508.1911924818
2,ethereum,14.389725342721574,2016-07,2,215942615439,76432694.99620306
3,litecoin,4.54415003797122,2016-07,14,5532079243,1010263500.8650116
4,ripple,0.00701,2016-07,5,31300531807,1546840.0
5,tether,1.0,2016-07,3,82925545784,1873710.0
1,dogecoin,0.000264943584374,2016-08,9,9562583847,1480875.453751955
2,ethereum,12.191218707659688,2016-08,2,215942615439,60708724.33736284
3,litecoin,3.941628728304085,2016-08,14,5532079243,564517835.3848472
4,ripple,0.006444,2016-08,5,31300531807,2161160.0
5,tether,1.0,2016-08,3,82925545784,7195530.0
1,dogecoin,0.0002468516410097,2016-09,9,9549904730,720214.4835291873
2,ethereum,14.308046581659251,2016-09,2,215864203184,28747263.944959663
3,litecoin,4.004958872906301,2016-09,14,5530769537,424096251.1815802
4,ripple,0.009061,2016-09,5,31300531807,15821900.0
5,tether,1.0,2016-09,3,82898269626,2554440.0
1,dogecoin,0.0002363633390093,2016-10,9,9549904730,424429.95288157376
2,ethereum,13.470600090767412,2016-10,2,215864203184,21618613.51080939
3,litecoin,4.054843845645493,2016-10,14,5530769537,430750564.4926847
4,ripple,0.009397,2016-10,5,31259004675,6008900.0
5,tether,1.0,2016-10,3,82898269626,2066640.0
1,dogecoin,0.0002406749862156,2016-11,9,9549904730,803024.2722221676
2,ethereum,11.129995658864797,2016-11,2,215864203184,13917166.749888524
3,litecoin,4.108408967342127,2016-11,14,5530769537,584711193.0272892
4,ripple,0.008254,2016-11,5,31259004675,3721340.0
5,tether,1.0,2016-11,3,82898269626,2427610.0
1,dogecoin,0.0002302471840211,2016-12,9,9549904730,254800.27936776628
2,ethereum,8.504900484563588,2016-12,2,215864203184,56439748.77481539
3,litecoin,4.528668868458804,2016-12,14,5530769537,880011632.0247452
4,ripple,0.0071339999999999,2016-12,5,31259004675,3560500.0
5,tether,1.0,2016-12,3,82898269626,2936720.0
1,dogecoin,0.0002292034132412,2017-01,9,9549904730,735385.0204363002
2,ethereum,10.972252853086058,2017-01,2,215864203184,31832239.05971364
3,litecoin,4.590288311414854,2017-01,14,5530769537,674286714.5128478
4,ripple,0.0070219999999999,2017-01,5,31259004675,5004900.0
5,tether,1.0,2017-01,3,82898269626,13590600.0
1,dogecoin,0.0002177865783585,2017-02,9,9578439880,174767.67901603665
2,ethereum,15.702781231900772,2017-02,2,216004469336,43441932.36968612
3,litecoin,4.064260631895146,2017-02,14,5537067424,12173070.168713674
4,ripple,0.0065009999999999,2017-02,5,31265368230,1873160.0
5,tether,1.0,2017-02,3,82893880200,10601000.0
1,dogecoin,0.0003442260040189,2017-03,9,9578642804,2382538.616089087
2,ethereum,52.84379426461343,2017-03,2,215949246126,334923528.91465944
3,litecoin,7.118546736245753,2017-03,14,5537457225,131917505.5986405
4,ripple,0.0203939999999999,2017-03,5,31265368230,72586500.0
5,tether,1.0,2017-03,3,82893880200,48680000.0
1,dogecoin,0.0007535442030099,2017-04,9,9578642804,7771303.977777656
